CACTUS2.5.0
A software package for 'Computer Aided CME Tracking'
CMEs detected by Cactus
:Issued: Mon Jul  7 07:33:01 2025
:Product: CACTus catalogue (http://sidc.be/cactus)
#----------------------------------------------------------------------
# Instrument: LASCO| Detector: c2 # Instrument: LASCO| Detector: c3
# Threshold : 0.30 | Factor : 2 | Minimal CME width: 5
# 
  first c2: 2025/07/01  00:00:07.496 23849354.fts
  last  c2: 2025/07/07  04:00:07.434 23850063.fts
  first c3: 2025/07/01  01:42:08.423 33837415.fts
  last  c3: 2025/07/07  03:06:08.173 33838114.fts
# 
#----------------------------------------------------------------------
# Output: Detected cmemap with the following characteristics:
# 
#    CME: CME number 
#   Flow: Flow number. Flows are suspicious detections, their color in the detectionmap is dark blue
#     t0: onset time, earliest indication of liftoff
#    dt0: duration of liftoff (hours)
#     pa: principal angle, counterclockwise from North (degrees)
#     da: angular width (degrees), 
#      v: median velocity (km/s)
#     dv: variation (1 sigma) of velocity over the width of the CME
#   minv: lowest velocity detected within the CME
#   maxv: highest velocity detected within the CME
#  halo?: II if da>90, III if da>180, IV if da>270, indicating potential halo/partial halo CME
# 

# CME |          t0    | dt0| pa | da |  v  |  dv | minv| maxv| halo?
  0035|2025/07/06 17:48| 02 | 285| 028| 0220| 0045| 0126| 0297|    
  0034|2025/07/06 17:48| 03 | 278| 062| 0289| 0132| 0122| 0558|    
  0033|2025/07/06 15:24| 00 | 254| 010| 0762| 0108| 0553| 0880|    
  0032|2025/07/06 02:00| 01 | 254| 014| 0612| 0074| 0578| 0781|    
  0031|2025/07/05 22:36| 00 | 350| 006| 0279| 0095| 0159| 0367|    
  0030|2025/07/05 22:24| 01 | 257| 012| 0578| 0103| 0393| 0686|    
  0029|2025/07/05 20:48| 01 | 256| 010| 0664| 0091| 0584| 0844|    
  0028|2025/07/05 13:36| 00 | 185| 012| 0197| 0562| 0180| 1331|    
  0027|2025/07/05 10:24| 02 | 330| 034| 0579| 0399| 0197| 1424|    
  0026|2025/07/05 08:00| 06 | 354| 094| 0269| 0075| 0121| 0473|  II
  0025|2025/07/05 00:36| 01 | 015| 016| 0367| 0210| 0137| 0844|    
  0024|2025/07/04 20:12| 00 | 245| 008| 0762| 0155| 0686| 1059|    
  0023|2025/07/04 17:00| 01 | 176| 022| 0350| 0912| 0228| 1838|    
  0022|2025/07/04 16:36| 08 | 158| 054| 0155| 0058| 0104| 0315|    
  0021|2025/07/04 15:48| 01 | 040| 010| 0283| 0091| 0220| 0480|    
  0020|2025/07/04 14:12| 06 | 019| 064| 0376| 0086| 0261| 0548|    
  0019|2025/07/04 14:00| 01 | 112| 010| 0876| 0395| 0589| 1644|    
  0018|2025/07/04 05:24| 03 | 023| 008| 0440| 0212| 0103| 0452|    
  0017|2025/07/03 18:36| 03 | 294| 022| 0258| 0296| 0104| 1077|    
  0016|2025/07/03 09:44| 00 | 161| 020| 1644| 0201| 1488| 1953|    
  0015|2025/07/03 09:20| 01 | 112| 022| 1602| 0183| 1179| 1838|    
  0014|2025/07/03 08:20| 04 | 053| 096| 0254| 0152| 0166| 0702|  II
  0013|2025/07/03 07:08| 01 | 270| 010| 0217| 0099| 0170| 0417|    
  0012|2025/07/03 07:08| 06 | 274| 134| 0429| 0158| 0114| 0892|  II
  0011|2025/07/03 02:56| 01 | 267| 008| 0371| 0197| 0189| 0679|    
  0010|2025/07/03 02:32| 01 | 008| 014| 0302| 0069| 0198| 0377|    
  0009|2025/07/02 22:08| 01 | 235| 024| 0241| 0221| 0134| 0744|    
  0008|2025/07/02 19:44| 04 | 277| 012| 0155| 0051| 0104| 0231|    
  0007|2025/07/02 19:08| 01 | 271| 016| 0214| 0050| 0131| 0285|    
  0006|2025/07/02 16:00| 02 | 224| 006| 0105| 0043| 0101| 0192|    
  0005|2025/07/02 09:24| 02 | 219| 008| 0105| 0002| 0102| 0109|    
  0004|2025/07/02 05:36| 03 | 215| 008| 0102| 0007| 0100| 0117|    
  0003|2025/07/02 03:12| 02 | 212| 010| 0133| 0092| 0102| 0340|    
  0002|2025/07/02 02:12| 01 | 208| 010| 0227| 0592| 0105| 1249|    
  0001|2025/07/02 00:12| 00 | 113| 036| 0516| 0146| 0411| 0868|    

#EOF
