CME_Number,Detected_Start,Detected_End,Avg_Score,Strength
26,2025-07-02 00:13:50.839,2025-07-02 00:22:15.843,10.84,Weak
26,2025-07-02 00:33:00.849,2025-07-02 00:42:15.854,2690366.55,Strong
26,2025-07-02 00:59:35.863,2025-07-02 01:12:40.870,857139.03,Strong
26,2025-07-02 01:58:35.894,2025-07-02 02:08:40.899,902519.28,Strong
26,2025-07-02 02:40:55.916,2025-07-02 02:40:55.916,10.84,Weak
26,2025-07-02 03:03:40.928,2025-07-02 03:03:40.928,10.84,Weak
26,2025-07-02 03:19:30.936,2025-07-02 03:22:40.938,1544302.5,Strong
26,2025-07-02 03:36:05.945,2025-07-02 04:07:10.962,13.5,Weak
26,2025-07-02 04:26:35.972,2025-07-02 04:34:20.976,1102590.72,Strong
26,2025-07-02 04:48:25.983,2025-07-02 05:11:55.996,2462382.51,Strong
26,2025-07-02 05:34:26.008,2025-07-02 05:39:41.011,1939164.28,Strong
26,2025-07-02 06:09:21.027,2025-07-02 06:10:26.027,1120724.41,Strong
26,2025-07-02 06:32:26.039,2025-07-02 06:32:26.039,10.84,Weak
26,2025-07-02 07:05:16.057,2025-07-02 07:05:16.057,10.84,Weak
26,2025-07-02 07:59:56.087,2025-07-02 08:08:31.092,704850.34,Strong
26,2025-07-02 09:24:56.134,2025-07-02 09:24:56.134,10.84,Weak
26,2025-07-02 09:45:46.145,2025-07-02 09:45:46.145,10.84,Weak
26,2025-07-02 10:09:21.159,2025-07-02 10:09:21.159,10.84,Weak
26,2025-07-02 10:42:16.177,2025-07-02 10:47:21.180,10.84,Weak
26,2025-07-02 11:02:01.188,2025-07-02 11:08:01.192,255466.16,Strong
26,2025-07-02 11:20:21.199,2025-07-02 11:30:01.204,1887399.28,Strong
26,2025-07-02 11:40:26.210,2025-07-02 11:56:41.220,545256.57,Strong
26,2025-07-03 00:11:41.618,2025-07-03 01:11:41.649,3410783.45,Strong
26,2025-07-03 01:23:41.655,2025-07-03 02:45:06.697,1444871.83,Strong
26,2025-07-03 02:57:41.704,2025-07-03 03:05:56.708,10.84,Weak
26,2025-07-03 03:22:01.717,2025-07-03 03:30:01.721,850338.89,Strong
26,2025-07-03 03:40:11.726,2025-07-03 04:08:01.741,2816897.88,Strong
26,2025-07-03 04:27:26.751,2025-07-03 04:27:36.751,172465.82,Strong
26,2025-07-03 04:42:56.759,2025-07-03 04:57:11.767,338331.58,Strong
26,2025-07-03 05:11:26.774,2025-07-03 05:11:26.774,10.84,Weak
26,2025-07-03 07:02:15.857,2025-07-03 07:23:30.864,2470511.97,Strong
26,2025-07-03 07:38:40.870,2025-07-03 07:41:10.871,233017.12,Strong
26,2025-07-03 07:51:35.876,2025-07-03 07:51:40.876,440050.73,Strong
26,2025-07-03 08:22:40.891,2025-07-03 08:51:10.905,2565956.75,Strong
26,2025-07-03 09:09:45.915,2025-07-03 09:15:45.918,10.84,Weak
26,2025-07-03 09:35:10.928,2025-07-03 10:01:20.942,1241027.82,Strong
26,2025-07-03 10:12:15.947,2025-07-03 10:31:15.958,1093106.66,Strong
26,2025-07-03 10:53:45.970,2025-07-03 10:54:30.970,734713.1,Strong
26,2025-07-03 11:07:05.977,2025-07-03 11:49:36.000,1495707.78,Strong
26,2025-07-03 12:00:21.006,2025-07-03 12:09:11.010,599409.79,Strong
26,2025-07-03 12:27:06.020,2025-07-03 12:31:11.022,10.84,Weak
26,2025-07-03 12:46:46.031,2025-07-03 12:50:46.033,1206061.16,Strong
26,2025-07-03 13:09:06.043,2025-07-03 13:09:06.043,10.84,Weak
26,2025-07-03 13:39:06.060,2025-07-03 14:01:01.072,10.84,Weak
26,2025-07-03 14:13:26.078,2025-07-03 14:13:26.078,10.84,Weak
26,2025-07-03 14:36:41.091,2025-07-03 14:38:31.092,10.84,Weak
26,2025-07-03 15:19:46.115,2025-07-03 15:24:06.117,812140.91,Strong
26,2025-07-03 15:36:31.124,2025-07-03 15:38:11.125,849231.83,Strong
26,2025-07-03 15:59:31.136,2025-07-03 16:09:01.142,1055037.75,Strong
26,2025-07-03 16:19:11.147,2025-07-03 16:58:21.168,1731488.48,Strong
