Time,integrated_flux_mod,integrated_flux_s9_mod,integrated_flux_s10_mod,integrated_flux_s11_mod,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-06-30 00:00:29.272,,,,,1275923.2525547342,179234.21681716279,-101742.98381580814
2025-06-30 00:00:34.272,62380.59574325732,,4073051.813046955,,1275923.2419347728,179235.65426003878,-101742.91173225548
2025-06-30 00:00:39.272,52435.584691999364,,2003681.113627138,,1275923.2313144824,179237.0917589251,-101742.8396453383
2025-06-30 00:00:44.272,,133.5822035853911,,,1275923.2206945112,179238.52919883147,-101742.76756070787
2025-06-30 00:00:49.272,,,,,1275923.2100744646,179239.96663726156,-101742.69547551568
2025-06-30 00:00:54.272,,,1979807.3139495528,,1275923.1994542032,179241.40410299378,-101742.62338832428
2025-06-30 00:00:59.272,296731.79629870225,,5931745.359460209,,1275923.1888341475,179242.84153846544,-101742.55130198097
2025-06-30 00:01:04.272,,2558572.692520236,,,1275923.1782140322,179244.27897246563,-101742.47921511496
2025-06-30 00:01:09.272,,,,,1275923.1675938678,179245.7164050082,-101742.40712763258
2025-06-30 00:01:14.272,44925.197149274754,,3841444.988691047,,1275923.1569732882,179247.1538935545,-101742.3350367567
2025-06-30 00:01:19.272,,,,,1275923.1463530872,179248.59132311246,-101742.26294817764
2025-06-30 00:01:24.272,254305.53089284594,,2688192.630138935,1282565.1896853875,1275923.135732862,179250.0287512128,-101742.190859074
2025-06-30 00:01:29.272,,3614.941003750966,,1891815.291551653,1275923.1251123762,179251.466206557,-101742.11876796663
2025-06-30 00:01:34.272,,,1857598.5713243228,,1275923.11449227,179252.9036029833,-101742.04667913739
2025-06-30 00:01:39.272,511932.04993709235,,3605637.931712357,,1275923.1038717832,179254.3410553417,-101741.97458692454
2025-06-30 00:01:44.272,,,1788447.1063806626,,1275923.0932511827,179255.7785062606,-101741.9024941196
2025-06-30 00:01:49.272,625895.8236529328,,7234108.852628347,,1275923.082630811,179257.21592674588,-101741.8304021997
2025-06-30 00:01:54.272,680476.5394249073,1428009.2532662812,4172129.0242638206,,1275923.0720102426,179258.6533748662,-101741.75830827578
2025-06-30 00:01:59.273,776946.4986361965,,1499846.2295752848,1624292.2326274998,1275923.061389762,179260.09079273863,-101741.68621524592
2025-06-30 00:02:04.273,1789055.3885683394,,16056852.509731777,1648142.2754034668,1275923.0507690897,179261.52823763082,-101741.61412020668
2025-06-30 00:02:09.273,13359342.618062764,3389428.1079272153,77374979.96249267,13535551.96470965,1275923.0401488089,179262.9656232402,-101741.54202750168
2025-06-30 00:02:14.273,103973287.81483541,37852398.06872881,651802152.0645041,104552549.52078897,1275923.029527847,179264.4030933201,-101741.46992986399
2025-06-30 00:02:19.273,338518595.80072576,107056742.32924928,1938283525.6289275,425393721.55085504,1275923.0189070473,179265.8405324515,-101741.39783315052
2025-06-30 00:02:24.273,266216458.95525953,70770858.99562384,1410586733.7513232,342080514.8429373,1275923.0082866168,179267.27791358414,-101741.32573873608
2025-06-30 00:02:29.273,33651254.94335846,5436230.577287108,216635641.12951878,31006199.68582841,1275922.9976658258,179268.71535098917,-101741.25364093325
2025-06-30 00:02:34.273,11310312.294838507,2391254.693732967,68155678.67480367,12908903.88695779,1275922.9870451784,179270.15275847056,-101741.18154394435
2025-06-30 00:02:39.273,4759192.916411008,5840871.914472831,31431315.891982112,4562164.236168305,1275922.976424516,179271.59016455355,-101741.10944643104
2025-06-30 00:02:44.273,3561471.767521675,5247623.965035456,17758585.61026648,1980609.0687548139,1275922.965803359,179273.02762660343,-101741.03734547511
2025-06-30 00:02:49.273,3253510.32079473,865046.414136822,25008711.153258268,799030.9105797929,1275922.9551826203,179274.46502928247,-101740.96524681745
2025-06-30 00:02:54.273,9731100.571504721,4816871.303678401,65683893.99885212,3472226.4741056934,1275922.9445618398,179275.90243076626,-101740.8931476117
2025-06-30 00:02:59.273,13236776.190948445,2336557.8206348955,103818775.60109584,1439538.3595358261,1275922.9339410171,179277.3398307914,-101740.82104784925
2025-06-30 00:03:04.273,5808166.4508087905,1882155.3752510126,49005922.04625765,143166.35832027116,1275922.923319945,179278.77725809807,-101740.74894608982
2025-06-30 00:03:09.273,2536349.073661908,177192.8361691699,24953267.67681351,,1275922.9126992922,179280.21462640626,-101740.67684667092
2025-06-30 00:03:14.273,2002579.6670763656,1946782.378795283,19827340.910246972,,1275922.9020782206,179281.6520507536,-101740.60474381282
2025-06-30 00:03:19.273,229601.7214859794,972451.115456165,4438789.822893399,610416.860316743,1275922.8914568308,179283.08950235095,-101740.53263888095
2025-06-30 00:03:24.273,444433.27608784765,1942619.7030366915,7366332.458097423,,1275922.880835846,179284.52689499693,-101740.46053633798
2025-06-30 00:03:29.273,423632.57711959735,,3010199.30218323,,1275922.8702148926,179285.96428615123,-101740.38843320729
2025-06-30 00:03:34.273,,,4576505.174875788,,1275922.8595938243,179287.4016758346,-101740.31632953038
2025-06-30 00:03:39.273,,1288901.0809603415,3821550.843941116,,1275922.8489725841,179288.83909277755,-101740.24422382523
2025-06-30 00:03:44.273,23312.14162681892,,,1461761.0633615355,1275922.8383515433,179290.27647950134,-101740.1721190617
2025-06-30 00:03:49.273,136068.66749820055,,4461691.819408235,,1275922.827730415,179291.7138647506,-101740.10001369042
2025-06-30 00:03:54.274,,,4398843.943314518,,1275922.817108827,179293.15130602615,-101740.02790489513
2025-06-30 00:03:59.273,,,,,1275922.8064878602,179294.5886595207,-101739.95579985401
2025-06-30 00:04:04.274,,,,2154971.7953764615,1275922.795866435,179296.02606912307,-101739.88369137712
2025-06-30 00:04:09.274,,,2840134.0185868745,,1275922.785245012,179297.46347718273,-101739.81158232613
2025-06-30 00:04:14.274,,929561.7106496484,,,1275922.7746239165,179298.90082631932,-101739.7394755825
2025-06-30 00:04:19.274,,925504.1382937782,1936024.0328845053,1052503.975135122,1275922.7640022011,179300.33826017226,-101739.66736397089
2025-06-30 00:04:24.274,,,4170604.801790067,,1275922.753380941,179301.77563506013,-101739.59525471879
2025-06-30 00:04:29.274,,1336196.023717426,1807300.0323655782,,1275922.742759574,179303.21300849118,-101739.52314490685
2025-06-30 00:04:34.274,55115.62430738425,,5514059.037037201,,1275922.7321379792,179304.65040917852,-101739.45103304298
2025-06-30 00:04:39.274,556441.7471790191,,3014022.331418174,,1275922.7215165347,179306.08777964627,-101739.3789220833
2025-06-30 00:04:44.274,655659.8125979583,1699034.2467037423,5050526.47086801,,1275922.710894855,179307.52517739785,-101739.30680909927
2025-06-30 00:04:49.274,154287.6925562824,,3925515.659565722,,1275922.7002735909,179308.96251616965,-101739.23469846311
2025-06-30 00:04:54.274,5097.772601171047,,1845063.6670064349,,1275922.6896516788,179310.39993969855,-101739.1625829282
2025-06-30 00:04:59.274,,,,985631.550711677,1275922.6790301234,179311.8373042637,-101739.09046973125
2025-06-30 00:05:04.274,135757.40562897793,,1889894.220338311,,1275922.668408554,179313.27466733998,-101739.01835597563
2025-06-30 00:05:09.274,,,1930395.8566530587,,1275922.6577867616,179314.71205764796,-101738.94624020741
