Time,integrated_flux_mod,integrated_flux_s15_mod,integrated_flux_s16_mod,integrated_flux_s17_mod,integrated_flux_s18_mod,integrated_flux_s19_mod,spacecraft_xpos,spacecraft_ypos,spacecraft_zpos
2025-07-02 00:00:25.832,6362499.999999998,3933333.3333333335,3933333.3333333335,15733333.333333334,27466666.666666668,9800000.0,1275600.963395247,227964.0485487923,-98916.80347312224
2025-07-02 00:00:30.832,,,900000.0000000009,,,3383333.333333333,1275600.957178348,227965.4294599011,-98916.71199178242
2025-07-02 00:00:35.832,,,2833333.333333334,,,,1275600.9509615123,227966.81042444397,-98916.62050622638
2025-07-02 00:00:40.832,,,,,,7383333.333333333,1275600.9447452156,227968.19133198593,-98916.52902377112
2025-07-02 00:00:45.832,,,566666.666666667,,,,1275600.938529136,227969.5722377667,-98916.43754073279
2025-07-02 00:00:50.832,,,300000.00000000093,2333333.333333332,,,1275600.9323132937,227970.95316939446,-98916.34605535347
2025-07-02 00:00:55.832,,,,,10833333.333333336,2783333.333333333,1275600.9260979341,227972.33404399507,-98916.25457301718
2025-07-02 00:01:00.832,,1283333.333333334,,,166666.6666666679,,1275600.9198826195,227973.71497208808,-98916.16308647994
2025-07-02 00:01:05.832,,,3766666.666666668,,,,1275600.9136675657,227975.0958983859,-98916.07159939717
2025-07-02 00:01:10.832,,,,,,,1275600.9074530452,227976.47679524779,-98915.98011359724
2025-07-02 00:01:15.832,,,33333.333333333954,,8300000.0,,1275600.9012385611,227977.8577177085,-98915.88862536487
2025-07-02 00:01:20.832,,,,,,3049999.999999999,1275600.8950244947,227979.23861115833,-98915.79713839898
2025-07-02 00:01:25.832,615625.0,,633333.333333334,,15233333.333333336,1183333.333333333,1275600.8888107091,227980.6195028927,-98915.70565087377
2025-07-02 00:01:30.832,,483333.33333333395,,,,,1275600.8825971745,227982.00039277686,-98915.61416280293
2025-07-02 00:01:35.832,944791.666666666,4283333.333333334,6766666.666666668,,12033333.333333336,3849999.999999999,1275600.8763837558,227983.38133581023,-98915.52267051046
2025-07-02 00:01:40.832,,,2700000.0,,,,1275600.8701707216,227984.76224910468,-98915.43117949279
2025-07-02 00:01:45.832,,,,,,,1275600.8639582272,227986.14310457837,-98915.33969156176
2025-07-02 00:01:50.833,,3150000.0,4033333.333333334,,,1049999.999999999,1275600.85774573,227987.52401411347,-98915.24819942378
2025-07-02 00:01:55.833,2032291.6666666642,816666.666666667,,13933333.333333332,8033333.333333336,,1275600.8515336702,227988.90489462443,-98915.15670852485
2025-07-02 00:02:00.833,7636458.333333336,9883333.333333334,15300000.000000002,15000000.000000004,56433333.333333336,6249999.999999999,1275600.845321901,227990.28577367958,-98915.06521707529
2025-07-02 00:02:05.833,30519791.666666657,22550000.0,58233333.333333336,130866666.66666667,178033333.33333334,45316666.66666667,1275600.8391101374,227991.66670639708,-98914.97372143553
2025-07-02 00:02:10.833,61811458.33333333,25683333.333333336,84233333.33333333,341800000.0,366700000.0,91716666.66666666,1275600.8328989204,227993.0475821474,-98914.88222886244
2025-07-02 00:02:15.833,44828124.999999985,21483333.333333336,57966666.66666667,229666666.66666666,277766666.6666666,80516666.66666666,1275600.8266879772,227994.42845574114,-98914.79073571949
2025-07-02 00:02:20.833,23111458.33333333,11416666.666666666,20833333.333333336,156333333.3333333,139766666.6666667,19583333.333333332,1275600.820477339,227995.80932777407,-98914.69924202375
2025-07-02 00:02:25.833,3986458.33333333,,3566666.666666668,15266666.666666668,29366666.66666667,17450000.0,1275600.8142668207,227997.19022566354,-98914.60774596053
2025-07-02 00:02:30.833,528125.0,,3833333.333333334,6200000.000000004,3233333.333333336,4316666.666666667,1275600.8080568153,227998.57109414705,-98914.51625116135
2025-07-02 00:02:35.833,,6883333.333333334,,,6700000.0,11116666.666666664,1275600.801846916,227999.95196088907,-98914.42475573876
2025-07-02 00:02:40.833,1544791.6666666623,283333.33333333395,,6866666.666666668,13900000.0,4116666.666666667,1275600.795637148,228001.33288108645,-98914.33325613732
2025-07-02 00:02:45.833,6953125.000000004,,1233333.333333334,40066666.66666667,56566666.666666664,10983333.333333332,1275600.7894281414,228002.71371658717,-98914.2417615198
2025-07-02 00:02:50.833,7203125.0,,100000.00000000093,18066666.666666668,72166666.66666666,22183333.333333332,1275600.7832190343,228004.09460562604,-98914.15026261011
2025-07-02 00:02:55.833,2336458.333333332,,2566666.666666668,,33100000.0,7449999.999999999,1275600.7770104466,228005.4754652308,-98914.05876501062
2025-07-02 00:03:00.833,403125.0,,6566666.666666668,866666.6666666679,1500000.0000000037,,1275600.7708019041,228006.85635070197,-98913.96726499428
2025-07-02 00:03:05.833,,3416666.666666668,1033333.333333334,,,2849999.999999999,1275600.7645938392,228008.2372067619,-98913.8757662439
2025-07-02 00:03:10.833,428125.0,683333.333333334,3100000.0,,4166666.666666668,3449999.999999999,1275600.7583858827,228009.61808865223,-98913.78426511888
2025-07-02 00:03:15.833,,,,,16300000.0,,1275600.7521782678,228010.99896878048,-98913.6927634512
2025-07-02 00:03:20.833,,,2566666.666666668,,,,1275600.7459711186,228012.37979191757,-98913.60126479442
2025-07-02 00:03:25.833,,,,,,,1275600.7397641495,228013.7606684791,-98913.50976206228
2025-07-02 00:03:30.833,82291.66666666698,,1700000.000000001,,1900000.0000000037,7116666.666666667,1275600.7335572597,228015.14154330798,-98913.41825862153
2025-07-02 00:03:35.833,615625.0000000009,,166666.66666666698,1800000.0000000037,2300000.0000000037,3983333.333333333,1275600.7273510161,228016.52236109864,-98913.32675836113
2025-07-02 00:03:40.833,,,,,,9383333.333333332,1275600.7211446725,228017.90325997892,-98913.23525200447
2025-07-02 00:03:45.833,,,,,,,1275600.7149388897,228019.28410184383,-98913.14374880644
2025-07-02 00:03:50.833,,1750000.000000001,,,,,1275600.70873325,228020.66494194954,-98913.05224496959
2025-07-02 00:03:55.834,90625.0,,9366666.666666668,6333333.333333332,,,1275600.7025279095,228022.04580787677,-98912.96073879459
2025-07-02 00:04:00.834,,,3900000.0,,,11316666.666666664,1275600.6963229529,228023.42664442057,-98912.86923388438
2025-07-02 00:04:05.834,,,1300000.000000001,,,50000.0,1275600.6901181578,228024.80750679117,-98912.77772657713
2025-07-02 00:04:10.834,,816666.666666667,,600000.0,,1983333.333333333,1275600.6839138877,228026.18831216014,-98912.68622236373
2025-07-02 00:04:15.834,,,,,,1849999.999999999,1275600.677709511,228027.56919860892,-98912.59471206774
2025-07-02 00:04:20.834,,,,,,,1275600.671505724,228028.9500280522,-98912.50320494192
2025-07-02 00:04:25.834,,,,,5233333.333333336,,1275600.6653021604,228030.33085570688,-98912.41169720609
2025-07-02 00:04:30.834,,,,1133333.3333333358,8833333.333333336,,1275600.6590987872,228031.7117091779,-98912.32018705754
2025-07-02 00:04:35.834,128124.99999999907,,,2333333.333333332,,,1275600.6528957598,228033.09253329277,-98912.22867821669
2025-07-02 00:04:40.834,,,1633333.333333334,,,5316666.666666667,1275600.6466930993,228034.4733556242,-98912.13716881775
2025-07-02 00:04:45.834,,,6366666.666666668,,4300000.000000004,,1275600.6404906933,228035.8541761805,-98912.04565882037
2025-07-02 00:04:50.834,98958.33333333116,1083333.333333334,3700000.0,,9633333.333333336,716666.666666667,1275600.6342883313,228037.23505020476,-98911.95414462918
2025-07-02 00:04:55.834,,,,,,3783333.333333333,1275600.628086457,228038.61586721463,-98911.86263353383
2025-07-02 00:05:00.834,,,,,,983333.333333333,1275600.621884972,228039.99668242934,-98911.7711218989
2025-07-02 00:05:05.834,,,,,,,1275600.6156835107,228041.3775235185,-98911.67960782832
2025-07-02 00:05:10.834,682291.6666666651,,2033333.333333334,16200000.000000004,,2516666.666666667,1275600.6094826742,228042.7583075726,-98911.58809690579
2025-07-02 00:05:15.834,,,,,,,1275600.6032817906,228044.13914509973,-98911.49658170104
2025-07-02 00:05:20.834,269791.666666667,750000.0000000009,1500000.000000001,,,5116666.666666667,1275600.5970811816,228045.52000845678,-98911.40506414656
2025-07-02 00:05:25.834,236458.33333333395,1083333.333333334,5300000.0,,2566666.666666668,,1275600.5908810273,228046.90081480896,-98911.31354968977
2025-07-02 00:05:30.834,,,,,,,1275600.5846811824,228048.28161938387,-98911.22203465801
2025-07-02 00:05:35.834,,,1366666.666666667,,,,1275600.5784816095,228049.66242219586,-98911.13051906694
2025-07-02 00:05:40.835,15625.0,,,,33333.33333333582,,1275600.5722821904,228051.04325083288,-98911.0390010993
2025-07-02 00:05:45.835,,,3166666.666666668,,,3583333.333333333,1275600.5660830743,228052.42407767702,-98910.9474825433
2025-07-02 00:05:50.835,,1083333.333333334,,,16300000.0,4116666.666666667,1275600.5598843978,228053.8048751329,-98910.85596528923
2025-07-02 00:05:55.835,,616666.666666667,4500000.0,3000000.0000000037,,,1275600.5536857902,228055.18569849522,-98910.76444561133
2025-07-02 00:06:00.835,,,,,,,1275600.5474877926,228056.566464768,-98910.6729290405
2025-07-02 00:06:05.835,207291.66666666884,,,3800000.0000000037,,4116666.666666667,1275600.5412898469,228057.94728454202,-98910.58140825026
2025-07-02 00:06:10.835,11019791.666666668,7016666.666666668,17300000.0,57266666.66666667,64300000.00000001,12850000.0,1275600.535092233,228059.32807493923,-98910.4898887403
2025-07-02 00:06:15.835,30894791.666666664,28150000.0,59566666.66666667,168066666.66666666,155900000.0,34116666.66666667,1275600.528894956,228060.70886352428,-98910.39836865384
2025-07-02 00:06:20.835,59565625.0,25950000.0,90033333.33333333,311266666.6666667,341900000.0,98783333.33333333,1275600.5226976948,228062.08970556594,-98910.30684434104
2025-07-02 00:06:25.835,46398958.333333336,21550000.0,41166666.66666667,250866666.66666666,295766666.6666666,56916666.66666667,1275600.5165009724,228063.470490593,-98910.21532317513
2025-07-02 00:06:30.835,18886458.33333333,9750000.0,31166666.66666667,115533333.33333333,109233333.33333334,23050000.0,1275600.5103045441,228064.85127386832,-98910.12380140176
2025-07-02 00:06:35.835,3782291.666666664,,3566666.666666668,15266666.666666668,36033333.333333336,5649999.999999999,1275600.504108389,228066.23205534663,-98910.03227905551
2025-07-02 00:06:40.835,,,,,3100000.0000000037,,1275600.497912364,228067.61286270345,-98909.94075433468
2025-07-02 00:06:45.835,94791.66666666605,,,,2833333.333333336,9250000.0,1275600.4917165716,228068.99369583768,-98909.8492272658
2025-07-02 00:06:50.835,853125.0,,,,7500000.0,17050000.0,1275600.4855214544,228070.37441678505,-98909.75770687626
2025-07-02 00:06:55.835,10403125.0,,3433333.333333334,64600000.0,78566666.66666666,13783333.333333332,1275600.479326246,228071.755246409,-98909.66617868008
2025-07-02 00:07:00.835,8478124.999999996,1683333.333333334,,47933333.33333334,69633333.33333334,14383333.333333332,1275600.473131517,228073.13601903064,-98909.57465351996
2025-07-02 00:07:05.835,3157291.666666666,,3366666.666666668,11000000.000000004,28300000.0,7049999.999999999,1275600.4669370546,228074.51678986024,-98909.48312780063
2025-07-02 00:07:10.835,590624.9999999991,2083333.333333334,,5533333.333333332,6433333.333333336,,1275600.4607428152,228075.8975864858,-98909.3915997402
2025-07-02 00:07:15.835,,,2366666.666666668,,11366666.666666672,2916666.666666667,1275600.4545488986,228077.27835348644,-98909.30007292592
2025-07-02 00:07:20.835,353125.00000000093,,1833333.333333334,,22300000.0,583333.333333333,1275600.4483553774,228078.65911907319,-98909.20854556223
2025-07-02 00:07:25.835,,,1900000.0,,12566666.666666672,,1275600.4421618502,228080.039910629,-98909.11701574572
2025-07-02 00:07:30.835,,,,,,2716666.666666667,1275600.4359687131,228081.42070024967,-98909.02548543434
2025-07-02 00:07:35.835,,,33333.333333333954,,,5316666.666666667,1275600.4297760944,228082.8014326489,-98908.933958176
2025-07-02 00:07:40.836,,2683333.333333334,,,8966666.666666672,,1275600.423583551,228084.18221808458,-98908.84242674365
2025-07-02 00:07:45.836,,,100000.00000000093,,,8783333.333333332,1275600.4173912087,228085.56300089194,-98908.75089471409
2025-07-02 00:07:50.836,,,766666.666666667,,,,1275600.4111994074,228086.9437273761,-98908.65936579782
